pipeline,accuracy,precision,recall,f1_score,roc_auc,pr_auc,false_alarm_rate,detection_rate,tp,fp,tn,fn,noise_std
full_dsp,0.4656084656084656,0.45054945054945056,0.9879518072289156,0.6188679245283019,0.6704932939304387,0.638326287612826,0.9433962264150944,0.9879518072289156,82,100,6,1,0.01
full_dsp,0.43915343915343913,0.43915343915343913,1.0,0.6102941176470589,0.5057967719936349,0.4971879855416831,1.0,1.0,83,106,0,0,0.03
full_dsp,0.43915343915343913,0.43915343915343913,1.0,0.6102941176470589,0.4456694703341669,0.3939173534584435,1.0,1.0,83,106,0,0,0.05
full_dsp,0.43915343915343913,0.43915343915343913,1.0,0.6102941176470589,0.4328256421914072,0.384131428804777,1.0,1.0,83,106,0,0,0.1
without_bandpass,0.5132275132275133,0.4742857142857143,1.0,0.6434108527131783,0.6526483291657195,0.6261229448372208,0.8679245283018868,1.0,83,92,14,0,0.01
without_bandpass,0.43915343915343913,0.43915343915343913,1.0,0.6102941176470589,0.4664696521936805,0.48037730465929174,1.0,1.0,83,106,0,0,0.03
without_bandpass,0.43915343915343913,0.43915343915343913,1.0,0.6102941176470589,0.48749715844510116,0.4134046893727006,1.0,1.0,83,106,0,0,0.05
without_bandpass,0.43915343915343913,0.43915343915343913,1.0,0.6102941176470589,0.4411229824960218,0.4114419949463764,1.0,1.0,83,106,0,0,0.1
without_bandpower,0.8465608465608465,0.8552631578947368,0.7831325301204819,0.8176100628930818,0.9198681518526939,0.8843104180286789,0.10377358490566038,0.7831325301204819,65,11,95,18,0.01
without_bandpower,0.43915343915343913,0.43915343915343913,1.0,0.6102941176470589,0.8558763355308024,0.7801746662839827,1.0,1.0,83,106,0,0,0.03
without_bandpower,0.43915343915343913,0.43915343915343913,1.0,0.6102941176470589,0.8318936121845873,0.7666966727635742,1.0,1.0,83,106,0,0,0.05
without_bandpower,0.43915343915343913,0.43915343915343913,1.0,0.6102941176470589,0.7030006819731758,0.6708732143895357,1.0,1.0,83,106,0,0,0.1
without_stft,0.5661375661375662,0.5172413793103449,0.18072289156626506,0.26785714285714285,0.49818140486474194,0.4679440857983481,0.1320754716981132,0.18072289156626506,15,14,92,68,0.01
without_stft,0.5026455026455027,0.45045045045045046,0.6024096385542169,0.5154639175257731,0.5375085246646965,0.4944100481392353,0.5754716981132075,0.6024096385542169,50,61,45,33,0.03
without_stft,0.43915343915343913,0.43915343915343913,1.0,0.6102941176470589,0.4222550579677199,0.3889919954484026,1.0,1.0,83,106,0,0,0.05
without_stft,0.43915343915343913,0.43915343915343913,1.0,0.6102941176470589,0.5150034098658787,0.425764201087663,1.0,1.0,83,106,0,0,0.1
baseline,0.6137566137566137,0.6190476190476191,0.3132530120481928,0.416,0.5700159127074335,0.5991059130268794,0.1509433962264151,0.3132530120481928,26,16,90,57,0.01
baseline,0.6190476190476191,0.6571428571428571,0.27710843373493976,0.3898305084745763,0.5413730393271198,0.5642537478033721,0.11320754716981132,0.27710843373493976,23,12,94,60,0.03
baseline,0.5873015873015873,0.6086956521739131,0.1686746987951807,0.2641509433962264,0.5125028415548989,0.5290024584050081,0.08490566037735849,0.1686746987951807,14,9,97,69,0.05
baseline,0.5714285714285714,0.6,0.07228915662650602,0.12903225806451613,0.4624914753353035,0.4666367983885787,0.03773584905660377,0.07228915662650602,6,4,102,77,0.1
