pipeline,accuracy,precision,recall,f1_score,roc_auc,pr_auc,false_alarm_rate,detection_rate,tp,fp,tn,fn
full_dsp,0.6190476190476191,0.6774193548387096,0.25301204819277107,0.3684210526315789,0.6235508070015913,0.6163502050819119,0.09433962264150944,0.25301204819277107,21,10,96,62
without_bandpass,0.6190476190476191,0.6896551724137931,0.24096385542168675,0.35714285714285715,0.6517390315980904,0.6142033545830863,0.08490566037735849,0.24096385542168675,20,9,97,63
without_bandpower,0.8465608465608465,0.95,0.6867469879518072,0.7972027972027972,0.8949761309388496,0.9122709897522986,0.02830188679245283,0.6867469879518072,57,3,103,26
without_stft,0.5767195767195767,0.5882352941176471,0.12048192771084337,0.2,0.45942259604455554,0.43561980082596374,0.0660377358490566,0.12048192771084337,10,7,99,73
baseline,0.6137566137566137,0.6190476190476191,0.3132530120481928,0.416,0.5787679017958627,0.6152855979938977,0.1509433962264151,0.3132530120481928,26,16,90,57
